{'Time': '2026-04-13T17:38:02.042738+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17994666', 'Gig0-0_In_uPackets': '159865', 'Gig0-0_Out_Octet': '11954647', 'Gig0-0_Out_uPackets': '107298'}
{'Time': '2026-04-13T17:39:01.722369+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17995607', 'Gig0-0_In_uPackets': '159875', 'Gig0-0_Out_Octet': '11955924', 'Gig0-0_Out_uPackets': '107311'}
{'Time': '2026-04-13T17:40:01.642550+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17996550', 'Gig0-0_In_uPackets': '159883', 'Gig0-0_Out_Octet': '11957144', 'Gig0-0_Out_uPackets': '107323'}
{'Time': '2026-04-13T17:41:02.268688+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17997386', 'Gig0-0_In_uPackets': '159890', 'Gig0-0_Out_Octet': '11958303', 'Gig0-0_Out_uPackets': '107334'}
{'Time': '2026-04-13T17:42:01.623385+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17998267', 'Gig0-0_In_uPackets': '159898', 'Gig0-0_Out_Octet': '11959460', 'Gig0-0_Out_uPackets': '107345'}
{'Time': '2026-04-13T17:43:01.711678+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '17999148', 'Gig0-0_In_uPackets': '159906', 'Gig0-0_Out_Octet': '11960634', 'Gig0-0_Out_uPackets': '107356'}
{'Time': '2026-04-13T17:44:01.912080+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18000031', 'Gig0-0_In_uPackets': '159914', 'Gig0-0_Out_Octet': '11961794', 'Gig0-0_Out_uPackets': '107367'}
{'Time': '2026-04-13T17:45:01.732945+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18000917', 'Gig0-0_In_uPackets': '159922', 'Gig0-0_Out_Octet': '11962956', 'Gig0-0_Out_uPackets': '107378'}
{'Time': '2026-04-13T17:46:02.195437+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18001803', 'Gig0-0_In_uPackets': '159930', 'Gig0-0_Out_Octet': '11964118', 'Gig0-0_Out_uPackets': '107389'}
{'Time': '2026-04-13T17:47:02.016923+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18002689', 'Gig0-0_In_uPackets': '159938', 'Gig0-0_Out_Octet': '11965340', 'Gig0-0_Out_uPackets': '107401'}
